category,feature_type,name,area_km2,countries,country_count,continents,center_lat,center_lon,wikidata_id,area_source
Island,Island,Kodiak Island,8163.4,United States,1,North America,57.3517,-153.2108,Q204387,Calculated from Natural Earth outlines
Island,Island,Buru,8099.2,Indonesia,1,Asia,-3.4419,126.6566,Q271030,Calculated from Natural Earth outlines
Island,Island,Crete,7990.0,Greece,1,Europe,35.2921,24.6463,Q34374,Calculated from Natural Earth outlines
Island,Island,Qeqertarsuaq,7932.7,Greenland,1,North America,69.8496,-53.5939,Q1228827,Calculated from Natural Earth outlines
Island,Island group,Archipiélago De Colón,7704.2,Ecuador,1,South America,-0.3694,-90.6876,Q38095,Calculated from Natural Earth outlines
Island,Island,Isla de Chiloé,7657.4,Chile,1,South America,-42.6062,-73.9679,Q504449,Calculated from Natural Earth outlines
Island,Island,î. d’Anticosti,7624.5,Canada,1,North America,49.5122,-63.0035,Q575033,Calculated from Natural Earth outlines
Island,Island group,Islas Canarias,7435.2,Spain,1,Europe,28.391,-15.9972,Q5813,Calculated from Natural Earth outlines
Island,Island group,Aru Islands,7393.9,Indonesia,1,Asia,-6.175,134.4743,,Calculated from Natural Earth outlines
Island,Island,Wrangel I.,7084.9,Russia,1,Europe,71.2682,-178.7646,Q106594,Calculated from Natural Earth outlines
Island,Island group,Îles Kerguelen,6977.8,French Southern Territories,1,Antarctica,-49.1978,69.6062,Q46772,Calculated from Natural Earth outlines
Island,Island group,New Ireland,6893.8,Papua New Guinea,1,Oceania,-3.7043,152.4503,Q215089,Calculated from Natural Earth outlines
Island,Island,Zealand,6648.4,Denmark,1,Europe,55.5458,11.6928,Q25535,Calculated from Natural Earth outlines
Island,Island,Leyte,6612.6,Philippines,1,Asia,10.7772,124.8993,Q211377,Calculated from Natural Earth outlines
Island,Island,Cornwallis I.,6587.4,Canada,1,North America,75.1186,-95.0008,Q674504,Calculated from Natural Earth outlines
Island,Island,Novaya Sibir’ I.,6069.1,Russia,1,Europe,75.1746,148.2552,Q860726,Calculated from Natural Earth outlines
Island,Island,East Falkland,5752.8,Falkland Islands,1,South America,-51.8015,-58.7699,Q642226,Calculated from Natural Earth outlines
Island,Island group,Vanua Levu,5696.3,Fiji,1,Oceania,-16.5768,179.2028,Q327733,Calculated from Natural Earth outlines
Island,Island,Cyprus,5561.4,Cyprus,1,Europe,35.1265,33.2324,Q644636,Calculated from Natural Earth outlines
Island,Island,Melville I.,5525.6,Australia,1,Oceania,-11.552,130.9713,Q504763,Calculated from Natural Earth outlines
Island,Island group,Andaman Islands,5381.8,"India, Myanmar",2,Asia,11.9268,92.5562,Q186233,Calculated from Natural Earth outlines
Island,Island group,Guadalcanal,5329.4,Solomon Islands,1,Oceania,-9.5876,160.1479,Q192767,Calculated from Natural Earth outlines
Island,Island,Isla Wellington,5306.7,Chile,1,South America,-49.3836,-74.9667,Q1048284,Calculated from Natural Earth outlines
Island,Island,Coats I.,5295.7,Canada,1,North America,62.5445,-83.0586,Q338670,Calculated from Natural Earth outlines
Island,Island,Bali,5221.6,Indonesia,1,Asia,-8.4572,115.2778,Q4648,Calculated from Natural Earth outlines
Island,Island,Edgeøya,5153.8,Norway,1,Europe,77.7676,23.1005,Q695120,Calculated from Natural Earth outlines
Island,Island group,Balearic Islands,5116.8,Spain,1,Europe,39.3546,2.5615,Q5765,Calculated from Natural Earth outlines
Island,Island,Prince Edward I.,5082.7,Canada,1,North America,46.4872,-63.5521,Q15120268,Calculated from Natural Earth outlines
Island,Island group,New Georgia Is.,4837.3,Solomon Islands,1,Oceania,-8.2162,157.2319,Q1044754,Calculated from Natural Earth outlines
Island,Island,Kolguyev I.,4702.7,Russia,1,Europe,69.116,49.1774,Q216161,Calculated from Natural Earth outlines
Island,Island,Andros,4614.6,Bahamas,1,North America,24.7422,-78.0383,Q514070,Calculated from Natural Earth outlines
Island,Island group,Isabela,4606.2,Ecuador,1,South America,-0.4353,-91.0957,Q83639,Calculated from Natural Earth outlines
Island,Island group,Mascarene Islands,4582.8,"France, Mauritius",2,"Africa, Europe",-19.9837,61.6936,Q205695,Calculated from Natural Earth outlines
Island,Island,Lombok,4385.2,Indonesia,1,Asia,-8.5446,116.3732,Q7564,Calculated from Natural Earth outlines
Island,Island group,Ryükyü Islands,4382.9,Japan,1,Asia,26.6715,128.9337,Q10905515,Calculated from Natural Earth outlines
Island,Island,Belitung,4289.3,Indonesia,1,Asia,-2.8929,107.9213,Q334771,Calculated from Natural Earth outlines
Island,Island,Kangaroo I.,4272.2,Australia,1,Oceania,-35.8326,137.3378,Q210371,Calculated from Natural Earth outlines
Island,Island group,Tanimbar Islands,4225.2,Indonesia,1,Asia,-7.5024,131.4025,Q913624,Calculated from Natural Earth outlines
Island,Island,Trinidad,4170.8,Trinidad and Tobago,1,North America,10.4343,-61.2471,Q128323,Calculated from Natural Earth outlines
Island,Island,Madura I.,4129.2,Indonesia,1,Asia,-7.0491,113.3119,Q208134,Calculated from Natural Earth outlines
Island,Island,St. Lawrence I.,4098.7,United States,1,North America,63.3438,-169.9065,Q638407,Calculated from Natural Earth outlines
Island,Island group,Espiritu Santo,4065.8,Vanuatu,1,Oceania,-15.1403,167.0354,Q337524,Calculated from Natural Earth outlines
Island,Island,Nias,4005.4,Indonesia,1,Asia,1.0404,97.6312,Q505707,Calculated from Natural Earth outlines
Island,Island,West Falkland,3998.9,Falkland Islands,1,South America,-51.7866,-59.9775,Q733338,Calculated from Natural Earth outlines
Island,Island group,Ilhas De Cabo Verde,3926.7,Cabo Verde,1,Africa,15.9622,-23.9655,Q1011,Calculated from Natural Earth outlines
Island,Island,Unimak I.,3886.2,United States,1,North America,54.7295,-164.0178,Q375615,Calculated from Natural Earth outlines
Island,Island,Malaita,3704.9,Solomon Islands,1,Oceania,-8.9651,160.9676,Q641568,Calculated from Natural Earth outlines
Island,Island,Nunivak I.,3698.9,United States,1,North America,60.1367,-166.492,Q530454,Calculated from Natural Earth outlines
Island,Island,Siberut,3690.0,Indonesia,1,Asia,-1.3485,98.8966,Q826041,Calculated from Natural Earth outlines
Island,Island group,Santa Isabel,3651.5,Solomon Islands,1,Oceania,-8.0453,159.215,Q713182,Calculated from Natural Earth outlines
Island,Island,Bohol,3571.6,Philippines,1,Asia,9.8837,124.2131,Q6497558,Calculated from Natural Earth outlines
Island,Island,Mallorca,3518.8,Spain,1,Europe,39.6363,2.9092,Q8828,Calculated from Natural Earth outlines
Island,Island,Socotra,3363.7,Yemen,1,Asia,12.5204,53.8897,Q82859,Calculated from Natural Earth outlines
Island,Island,South Georgia,3198.4,South Georgia and the South Sandwich Islands,1,Antarctica,-54.4313,-36.461,Q1137202,Calculated from Natural Earth outlines
Island,Island,Vaygach I.,3195.4,Russia,1,Europe,70.0695,59.3556,Q207677,Calculated from Natural Earth outlines
