continent,countries,total_population,male_population,female_population,male_pct,female_pct,avg_births_per_year,avg_deaths_per_year,cities_15k_listed,surface_area_km2,land_area_km2,pop_density_per_km2
Africa,58,1548214385,772585385,774292113,0.499448331234307,0.500551668765693,47699878,11777655,4044,30379861.5,29933535.3,51.72
Antarctica,2,170,0,0,,,0,0,2,11732.0,11732.0,0.01
Asia,51,4823540129,2440123559,2359960105,0.508350214247432,0.491649785752568,66395822,33557991,12577,31959064.1,31092005.0,155.14
Europe,53,746271819,360423251,385662346,0.483085657261388,0.516914342738612,6054264,8278432,8167,23106184.3,22165719.3,33.67
North America,41,613294194,304288172,308074053,0.496908789564869,0.503091210435131,7667506,4864150,5196,22940669.9,21022424.0,29.17
Oceania,27,48756880,24397387,24315074,0.500844886486027,0.499155113513973,721449,332811,437,8576041.6,8511161.6,5.73
South America,14,437986385,216229529,221558712,0.493913515141673,0.506086484858327,5685230,2963467,3720,17805834.6,17486724.3,25.05
