continent,country,iso_code,capital,total_population,male_population,female_population,male_pct,female_pct,popular_language,other_languages,birth_rate_per_1000,death_rate_per_1000,avg_births_per_year,avg_deaths_per_year,natural_growth_per_year,source,surface_area_km2,land_area_km2,pop_density_per_km2
Oceania,Micronesia,FSM,Palikir,113683,56456,57227,0.496608991669819,0.503391008330181,English,"Chuukese, Pohnpeian, Yapese",22.318,7.712,2537,877,1660,World Bank 2025,700,700,162.4
Oceania,Nauru,NRU,Yaren,12025,6118,5907,0.508773388773389,0.491226611226611,Nauru,English,24.562,7.574,295,91,204,World Bank 2025,20,20,601.25
Oceania,New Caledonia,NCL,Noumea,295333,145703,149630,0.493351572631572,0.506648427368428,French,,14.03,6.251,4144,1846,2298,World Bank 2025,18580,18280,16.16
Oceania,New Zealand,NZL,Wellington,5324700,2646619,2678081,0.497045655154281,0.502954344845719,English,Maori,11.03,7.13,58731,37965,20766,World Bank 2025,267710,263310,20.22
Oceania,Niue,NIU,Alofi,2166,,,,,Niuean,English,,,,,,GeoNames (no sex split),260,260,8.33
Oceania,Norfolk Island,NFK,Kingston,1828,,,,,English,,,,,,,GeoNames (no sex split),34.6,34.6,52.83
Oceania,Northern Mariana Islands,MNP,Saipan,43541,23034,20507,0.529018626122505,0.470981373877495,Filipino,"Tagalog, Chinese, Chamorro",12.107,4.977,527,217,310,World Bank 2025,460,460,94.65
Oceania,Palau,PLW,Melekeok,17663,9506,8157,0.538187170922267,0.461812829077733,Palauan,"Sonsorol, English, Tobian",10.687,11.729,189,207,-18,World Bank 2025,460,460,38.4
Oceania,Papua New Guinea,PNG,Port Moresby,10762817,5530194,5232623,0.513824029526842,0.486175970473158,English,"Hiri Motu, Motu, Tok Pisin",24.291,6.554,261440,70540,190900,World Bank 2025,462840,452860,23.77
Oceania,Pitcairn,PCN,Adamstown,46,,,,,English,,,,,,,GeoNames (no sex split),47,47,0.98
Oceania,Samoa,WSM,Apia,219306,110473,108833,0.503739067786563,0.496260932213437,Samoan,English,24.969,6.16,5476,1351,4125,World Bank 2025,2840,2780,78.89
Oceania,Solomon Islands,SLB,Honiara,838645,428775,409870,0.511271157641195,0.488728842358805,English,Tok Pisin,26.707,5.083,22398,4263,18135,World Bank 2025,28900,27990,29.96
Oceania,Timor Leste,TLS,Dili,1418517,715244,703273,0.504219547597949,0.495780452402051,Tetum,"Portuguese, Indonesian, English",21.768,7.219,30878,10240,20638,World Bank 2025,14870,14870,95.39
Oceania,Tokelau,TKL,,1466,,,,,Tokelau,English,,,,,,GeoNames (no sex split),10,10,146.6
Oceania,Tonga,TON,Nuku'alofa,103742,48999,54743,0.472315937614467,0.527684062385533,Tonga (Tonga Islands),English,23.04,6.442,2390,668,1722,World Bank 2025,750,720,144.09
Oceania,Tuvalu,TUV,Funafuti,9492,4859,4633,0.511904761904762,0.488095238095238,Tuvalu,"English, Samoan, Gilbertese",21.969,9.268,209,88,121,World Bank 2025,30,30,316.4
Oceania,Vanuatu,VUT,Port Vila,335169,169145,166024,0.504655860178,0.495344139822,Bislama,"English, French",27.651,5.018,9268,1682,7586,World Bank 2025,12190,12190,27.5
Oceania,Wallis and Futuna,WLF,Mata Utu,16025,,,,,Wallisian,"East Futuna, French",,,,,,GeoNames (no sex split),274,274,58.49
South America,Argentina,ARG,Buenos Aires,45851378,22763219,23088159,0.496456595044973,0.503543404955027,Spanish,"English, Italian, German",11.086,7.732,508308,354523,153785,World Bank 2025,2780400,2736690,16.75
South America,Bolivia,BOL,Sucre,12581843,6302280,6279563,0.500902769173006,0.499097230826994,Spanish,"Quechua, Aymara",21.026,7.172,264546,90237,174309,World Bank 2025,1098580,1083300,11.61
South America,Brazil,BRA,Brasilia,212812405,104657408,108154997,0.491782459767794,0.508217540232206,Portuguese,"Spanish, English, French",12.133,7.068,2582053,1504158,1077895,World Bank 2025,8510420,8358140,25.46
South America,Chile,CHL,Santiago,19859921,9871188,9988733,0.497040647845477,0.502959352154523,Spanish,,8.723,6.58,173238,130678,42560,World Bank 2025,757244.88,742831.64,26.74
South America,Colombia,COL,Bogota,53425635,26358472,27067163,0.493367500451796,0.506632499548204,Spanish,,13.251,5.466,707943,292025,415918,World Bank 2025,1140619.1,1109500,48.15
South America,Ecuador,ECU,Quito,18289896,9117014,9172882,0.498472708647441,0.501527291352559,Spanish,,14.82,5.207,271056,95235,175821,World Bank 2025,256370,248360,73.64
South America,Falkland Islands,FLK,Stanley,2638,,,,,English,,,,,,,GeoNames (no sex split),12173,12173,0.22
South America,French Guiana,GUF,Cayenne,195506,,,,,French,,,,,,,GeoNames (no sex split),91000,91000,2.15
South America,Guyana,GUY,Georgetown,835986,406822,429164,0.486637336031943,0.513362663968057,English,,19.883,7.477,16622,6251,10371,World Bank 2025,214970,211140,3.96
South America,Paraguay,PRY,Asuncion,7013078,3515389,3497689,0.501261928072096,0.498738071927904,Spanish,Guarani,19.728,5.697,138354,39954,98400,World Bank 2025,406752,396012.03,17.71
South America,Peru,PER,Lima,34576665,17193234,17383431,0.497249633531748,0.502750366468253,Spanish,"Quechua, Aymara",15.751,5.595,544617,193456,351161,World Bank 2025,1285215.6,1280000,27.01
South America,Suriname,SUR,Paramaribo,639850,319510,320340,0.499351410486833,0.500648589513167,Dutch,"English, Sranan Tongo, Caribbean Hindustani",17.152,6.841,10975,4377,6598,World Bank 2025,163820,160507.61,3.99
South America,Uruguay,URY,Montevideo,3384688,1642008,1742680,0.485128319065155,0.514871680934845,Spanish,,9.802,9.933,33177,33620,-443,World Bank 2025,176220,175020,19.34
South America,Venezuela,VEN,Caracas,28516896,14082985,14433911,0.493847051235871,0.506152948764129,Spanish,,15.231,7.678,434341,218953,215388,World Bank 2025,912050,882050,32.33
